Name,Diseño_Urbano_Ambiental,Instalaciones_III,Estructuras_III,Taller_Intermedio_I,Normatividad_I,Estructuras_I,Taller_Básico_I,Teoría_de_la_Arquitectura_II,Representación_Arquitectónica_II,Geometria_i
11023822,90,96,88,93,94,97,94,90,92,82
11024722,83,85,87,87,83,82,78,87,80,80
12056559,90,93,82,86,76,90,93,89,90,70
13112987,94,89,92,96,90,94,92,91,94,84
14141815,81,87,71,89,96,73,62,66,53,60
15161285,90,86,77,82,87,79,74,82,71,25
15161579,75,65,43,74,0,0,25,58,51,52
15161811,90,97,78,72,90,82,77,89,77,74
15172629,83,92,89,95,81,83,92,78,83,88
15172631,92,97,88,94,93,82,84,85,82,76
15172898,94,90,94,96,86,96,96,94,100,94
15172919,85,72,80,69,83,82,71,76,74,78
15172942,76,62,71,60,83,83,72,74,71,74
15173239,86,98,88,90,92,95,92,89,88,76
15173242,95,100,99,95,95,99,96,97,80,72
15173245,86,88,74,69,82,90,41,89,60,33
15173339,86,87,87,95,85,83,92,80,76,64
15173401,92,93,97,83,96,97,96,93,96,97
15173520,90,94,91,86,93,97,90,88,89,87
15173580,74,80,61,39,68,78,32,73,47,20
15173665,92,92,88,87,91,95,73,95,89,89
15173678,83,91,76,89,90,79,81,88,83,88
15173691,90,93,71,78,87,80,65,71,74,57
15173713,83,82,87,87,80,80,82,81,74,70
15173871,87,91,90,94,83,79,66,74,56,65
15173959,92,93,82,91,93,95,89,80,95,84
15174147,90,98,87,91,91,94,93,91,91,88
22068147,92,94,77,87,90,95,89,81,93,81
31034745,83,61,68,69,72,60,35,71,48,35
34150245,86,95,83,73,55,77,87,83,87,70
