Folio CEEEY,Sexo,Modalidad,Turno,Grado,Matemáticas, Español, Ciencias Naturales
89538,H,General,Matutino,5,Básico,Básico,Básico
89541,H,General,Matutino,5,Básico,Básico,Básico
89544,H,General,Matutino,5,Básico,Básico,Básico
89546,H,General,Matutino,5,Básico,Básico,Básico
89551,H,General,Matutino,5,Básico,Básico,Básico
89556,H,General,Matutino,5,Básico,Básico,Básico
89563,H,General,Matutino,5,Básico,Básico,Básico
91017,H,General,Matutino,5,Básico,Básico,Básico
91025,H,General,Matutino,5,Básico,Básico,Básico
91027,H,General,Matutino,5,Básico,Básico,Básico
91052,H,General,Matutino,5,Básico,Básico,Básico
91057,H,General,Matutino,5,Básico,Básico,Básico
91059,H,General,Matutino,5,Básico,Básico,Básico
91086,H,General,Matutino,5,Básico,Básico,Básico
91295,H,General,Matutino,5,Básico,Básico,Básico
91299,H,General,Matutino,5,Básico,Básico,Básico
91300,H,General,Matutino,5,Básico,Básico,Básico
91302,H,General,Matutino,5,Básico,Básico,Básico
91303,H,General,Matutino,5,Básico,Básico,Básico
91309,H,General,Matutino,5,Básico,Básico,Básico
91311,H,General,Matutino,5,Básico,Básico,Básico
91315,H,General,Matutino,5,Básico,Básico,Básico
91316,H,General,Matutino,5,Básico,Básico,Básico
91317,H,General,Matutino,5,Básico,Básico,Básico
91608,H,General,Matutino,5,Básico,Básico,Básico
103253,H,General,Matutino,5,Básico,Básico,Básico
103257,H,General,Matutino,5,Básico,Básico,Básico
103265,H,General,Matutino,5,Básico,Básico,Básico
103269,H,General,Matutino,5,Básico,Básico,Básico
103275,H,General,Matutino,5,Básico,Básico,Básico
103278,H,General,Matutino,5,Básico,Básico,Básico
103295,H,General,Matutino,5,Básico,Básico,Básico
103300,H,General,Matutino,5,Básico,Básico,Básico
85265,H,General,Matutino,5,Básico,Básico,Básico
85266,H,General,Matutino,5,Básico,Básico,Básico
85276,H,General,Matutino,5,Básico,Básico,Básico
85277,H,General,Matutino,5,Básico,Básico,Básico
87000,H,General,Matutino,5,Básico,Básico,Básico
87009,H,General,Matutino,5,Básico,Básico,Básico
87022,H,General,Matutino,5,Básico,Básico,Básico
87024,H,General,Matutino,5,Básico,Básico,Básico
87028,H,General,Matutino,5,Básico,Básico,Básico
87033,H,General,Matutino,5,Básico,Básico,Básico
87038,H,General,Matutino,5,Básico,Básico,Básico
87045,H,General,Matutino,5,Básico,Básico,Básico
90102,H,General,Matutino,5,Básico,Básico,Básico
90942,H,General,Matutino,5,Básico,Básico,Básico
90946,H,General,Matutino,5,Básico,Básico,Básico
90955,H,General,Matutino,5,Básico,Básico,Básico
90964,H,General,Matutino,5,Básico,Básico,Básico
90968,H,General,Matutino,5,Básico,Básico,Básico
90970,H,General,Matutino,5,Básico,Básico,Básico
90979,H,General,Matutino,5,Básico,Básico,Básico
90980,H,General,Matutino,5,Básico,Básico,Básico
103394,H,General,Matutino,5,Básico,Básico,Básico
103397,H,General,Matutino,5,Básico,Básico,Básico
103406,H,General,Matutino,5,Básico,Básico,Básico
103412,H,General,Matutino,5,Básico,Básico,Básico
82046,H,General,Matutino,5,Básico,Básico,Básico
82068,H,General,Matutino,5,Básico,Básico,Básico
82077,H,General,Matutino,5,Básico,Básico,Básico
82093,H,General,Matutino,5,Básico,Básico,Básico
84950,H,General,Matutino,5,Básico,Básico,Básico
84956,H,General,Matutino,5,Básico,Básico,Básico
84958,H,General,Matutino,5,Básico,Básico,Básico
84970,H,General,Matutino,5,Básico,Básico,Básico
84977,H,General,Matutino,5,Básico,Básico,Básico
84983,H,General,Matutino,5,Básico,Básico,Básico
84987,H,General,Matutino,5,Básico,Básico,Básico
84989,H,General,Matutino,5,Básico,Básico,Básico
84995,H,General,Matutino,5,Básico,Básico,Básico
84996,H,General,Matutino,5,Básico,Básico,Básico
85002,H,General,Matutino,5,Básico,Básico,Básico
85008,H,General,Matutino,5,Básico,Básico,Básico
95386,H,General,Matutino,5,Básico,Básico,Básico
95401,H,General,Matutino,5,Básico,Básico,Básico
95402,H,General,Matutino,5,Básico,Básico,Básico
